respondent_id,gender,age_years,country,education_level,undergraduate_major,current_role,current_industry,years_experience_current_role,yearly_compensation_usd
26,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,0,"0-10,000"
27,Female,22,China,Master’s degree,Mathematics or statistics,Student,I am a student,2,
28,Female,22,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,2,"0-10,000"
29,Female,25,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,3,"0-10,000"
30,Female,18,India,Master’s degree,Other,Student,I am a student,,
31,Female,30,Other,Master’s degree,Mathematics or statistics,Data Analyst,Medical/Pharmaceutical,2,"20-30,000"
32,Female,22,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Medical/Pharmaceutical,2,"0-10,000"
33,Female,18,India,Master’s degree,Mathematics or statistics,Data Scientist,Online Service/Internet-based Services,0,
34,Female,30,India,Master’s degree,"Computer science (software engineering, etc.)",Not employed,,,
35,Female,25,Germany,Master’s degree,"Information technology, networking, or system administration",Student,I am a student,0,"50-60,000"
36,Female,25,India,Some college/university study without earning a bachelor’s degree,Engineering (non-computer focused),Business Analyst,Online Business/Internet-based Sales,5,"0-10,000"
37,Female,22,India,Master’s degree,"Computer science (software engineering, etc.)",Business Analyst,Computers/Technology,2,"0-10,000"
38,Female,25,India,Master’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,4,"0-10,000"
39,Female,25,Germany,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,0,"70-80,000"
40,Female,45,India,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,4,"0-10,000"
41,Female,30,India,Master’s degree,Engineering (non-computer focused),Data Analyst,Academics/Education,1,
42,Female,25,India,Doctoral degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,2,"30-40,000"
43,Female,25,Philippines,Master’s degree,Mathematics or statistics,Statistician,Other,5,
44,Female,25,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,1,
45,Female,40,Austria,Master’s degree,Environmental science or geology,Data Scientist,Government/Public Service,4,"30-40,000"
46,Female,22,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,
47,Female,25,United Kingdom of Great Britain and Northern Ireland,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Service/Internet-based Services,0,"20-30,000"
48,Female,25,Kenya,Master’s degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,1,"10-20,000"
49,Female,40,India,Master’s degree,Engineering (non-computer focused),Product/Project Manager,Broadcasting/Communications,15,"50-60,000"
50,Female,35,Turkey,Doctoral degree,"Computer science (software engineering, etc.)",Student,I am a student,3,"0-10,000"
51,Female,22,Sweden,Some college/university study without earning a bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Research Scientist,Military/Security/Defense,1,"40-50,000"
52,Female,22,India,Professional degree,"Computer science (software engineering, etc.)",Data Analyst,Medical/Pharmaceutical,0,"10-20,000"
53,Female,22,South Korea,Master’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,1,"20-30,000"
54,Female,25,Ukraine,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,I am a student,3,
55,Female,25,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Accounting/Finance,1,
56,Female,22,Other,Master’s degree,Physics or astronomy,Data Scientist,Accounting/Finance,1,"10-20,000"
57,Female,18,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,,
58,Female,45,Russia,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,15,"10-20,000"
59,Female,22,Ireland,Doctoral degree,Mathematics or statistics,Data Analyst,Accounting/Finance,0,"20-30,000"
60,Female,30,India,Bachelor’s degree,Engineering (non-computer focused),Data Analyst,Government/Public Service,5,
61,Female,30,Spain,Doctoral degree,Physics or astronomy,Not employed,,,
62,Female,25,New Zealand,Master’s degree,Mathematics or statistics,Student,Academics/Education,1,"0-10,000"
63,Female,25,China,Master’s degree,Mathematics or statistics,Business Analyst,Accounting/Finance,1,"0-10,000"
64,Female,30,Netherlands,Master’s degree,Mathematics or statistics,Manager,Accounting/Finance,5,
65,Female,18,Belarus,Master’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,0,"80-90,000"
66,Female,25,Portugal,Master’s degree,Engineering (non-computer focused),Student,I am a student,0,
67,Female,25,India,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Accounting/Finance,0,"20-30,000"
68,Female,25,India,Bachelor’s degree,Engineering (non-computer focused),Other,Online Service/Internet-based Services,0,
69,Female,30,India,Master’s degree,"Computer science (software engineering, etc.)",Manager,Computers/Technology,10,"10-20,000"
70,Female,25,India,Professional degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,5,"10-20,000"
71,Female,45,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Other,Academics/Education,2,"40-50,000"
72,Female,25,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3,
73,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,I am a student,0,
74,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,"0-10,000"
75,Female,25,Chile,Master’s degree,Mathematics or statistics,Data Analyst,Academics/Education,1,"10-20,000"
76,Female,22,India,Master’s degree,"Computer science (software engineering, etc.)",Other,Computers/Technology,0,
77,Female,30,Russia,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,5,"10-20,000"
78,Female,22,Bangladesh,Bachelor’s degree,"Computer science (software engineering, etc.)",Research Assistant,Computers/Technology,0,"0-10,000"
79,Female,22,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,,"10-20,000"
80,Female,18,India,Professional degree,"Computer science (software engineering, etc.)",Student,I am a student,,
81,Female,35,China,Doctoral degree,"A business discipline (accounting, economics, finance, etc.)",Student,Accounting/Finance,2,
82,Female,22,India,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Other,Computers/Technology,1,
83,Female,22,India,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,0,
84,Female,25,Other,Doctoral degree,Mathematics or statistics,Statistician,Academics/Education,2,"0-10,000"
85,Female,30,Other,Doctoral degree,Mathematics or statistics,Statistician,Academics/Education,5,"10-20,000"
86,Female,22,Other,Bachelor’s degree,Mathematics or statistics,Not employed,,,
87,Female,22,Portugal,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,"0-10,000"
88,Female,22,India,Master’s degree,Mathematics or statistics,Student,Insurance/Risk Assessment,0,
89,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15,"0-10,000"
90,Female,25,China,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,I am a student,1,"0-10,000"
91,Female,22,Netherlands,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,4,"0-10,000"
92,Female,25,Spain,Master’s degree,"Computer science (software engineering, etc.)",Other,Other,1,"20-30,000"
93,Female,22,Russia,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Academics/Education,1,
94,Female,22,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,4,
95,Female,25,Russia,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Research Assistant,Academics/Education,2,"0-10,000"
96,Female,35,Spain,Master’s degree,"Computer science (software engineering, etc.)",Consultant,Computers/Technology,10,"20-30,000"
97,Female,30,Brazil,Doctoral degree,Physics or astronomy,Data Scientist,Insurance/Risk Assessment,0,"0-10,000"
98,Female,22,India,Bachelor’s degree,Engineering (non-computer focused),Research Assistant,Non-profit/Service,2,"0-10,000"
99,Female,25,India,Master’s degree,"Information technology, networking, or system administration",Data Analyst,Computers/Technology,1,"0-10,000"
100,Female,18,India,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,,"0-10,000"
101,Female,40,Australia,Master’s degree,Mathematics or statistics,Data Analyst,Government/Public Service,5,"80-90,000"
102,Female,22,India,Master’s degree,"Information technology, networking, or system administration",Software Engineer,Computers/Technology,0,
103,Female,40,Switzerland,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Other,Broadcasting/Communications,1,"80-90,000"
104,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,0,"0-10,000"
105,Female,25,Other,Bachelor’s degree,"Information technology, networking, or system administration",Other,Computers/Technology,1,
106,Female,22,Turkey,Master’s degree,"Computer science (software engineering, etc.)",Student,Military/Security/Defense,0,
107,Female,22,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,"0-10,000"
108,Female,25,France,Doctoral degree,Mathematics or statistics,Data Scientist,Online Service/Internet-based Services,1,"50-60,000"
109,Female,18,India,Some college/university study without earning a bachelor’s degree,Engineering (non-computer focused),Data Scientist,I am a student,0,
110,Female,30,India,Master’s degree,Engineering (non-computer focused),Not employed,,,
111,Female,30,Germany,Doctoral degree,Mathematics or statistics,Research Assistant,Academics/Education,1,
112,Female,25,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,3,
113,Female,30,Italy,Master’s degree,Mathematics or statistics,Data Engineer,Computers/Technology,3,"100-125,000"
114,Female,40,India,Master’s degree,Mathematics or statistics,Product/Project Manager,Computers/Technology,2,"50-60,000"
115,Female,22,India,Bachelor’s degree,Engineering (non-computer focused),Not employed,,,
116,Female,22,Russia,Master’s degree,"Information technology, networking, or system administration",DBA/Database Engineer,Accounting/Finance,0,"0-10,000"
117,Female,30,Sweden,Master’s degree,Other,Other,Other,5,"40-50,000"
118,Female,25,France,Master’s degree,Mathematics or statistics,Data Scientist,Retail/Sales,3,"50-60,000"
119,Female,22,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1,"0-10,000"
120,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,10,"0-10,000"
121,Female,30,Portugal,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Business/Internet-based Sales,5,"30-40,000"
122,Female,25,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,"Information technology, networking, or system administration",Data Analyst,Computers/Technology,2,"30-40,000"
123,Female,35,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,1,
124,Female,35,Russia,Bachelor’s degree,"Information technology, networking, or system administration",Marketing Analyst,Marketing/CRM,4,"10-20,000"
125,Female,18,Brazil,Bachelor’s degree,"Information technology, networking, or system administration",Other,Other,1,"0-10,000"
126,Female,22,France,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Energy/Mining,0,
127,Female,22,India,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,"0-10,000"
128,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,0,
129,Female,30,India,Doctoral degree,"Computer science (software engineering, etc.)",Data Analyst,Academics/Education,0,"0-10,000"
130,Female,22,Romania,Master’s degree,"Computer science (software engineering, etc.)",Other,Insurance/Risk Assessment,0,
131,Female,25,Other,Doctoral degree,Physics or astronomy,Data Scientist,Computers/Technology,1,"10-20,000"
132,Female,35,Russia,Doctoral degree,Mathematics or statistics,Statistician,Computers/Technology,5,
133,Female,25,Brazil,Bachelor’s degree,"Information technology, networking, or system administration",DBA/Database Engineer,Government/Public Service,5,"10-20,000"
134,Female,22,Brazil,Master’s degree,"Computer science (software engineering, etc.)",Not employed,,,
135,Female,25,India,Master’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,1,"0-10,000"
136,Female,25,Belarus,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Broadcasting/Communications,1,"10-20,000"
137,Female,22,France,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,0,
138,Female,22,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,I am a student,20,
139,Female,30,Russia,Doctoral degree,Mathematics or statistics,Software Engineer,Computers/Technology,5,"20-30,000"
140,Female,25,Russia,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1,"0-10,000"
141,Female,18,Russia,Master’s degree,Mathematics or statistics,Business Analyst,Accounting/Finance,0,"0-10,000"
142,Female,25,France,Master’s degree,Mathematics or statistics,Research Scientist,Energy/Mining,3,"30-40,000"
143,Female,22,"Iran, Islamic Republic of...",Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,,"0-10,000"
144,Female,35,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,2,
145,Female,35,Ukraine,Doctoral degree,Mathematics or statistics,Research Scientist,Academics/Education,10,
146,Female,25,Mexico,Master’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,5,"50-60,000"
147,Female,22,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,I am a student,0,"0-10,000"
148,Female,30,Russia,Bachelor’s degree,Mathematics or statistics,Data Analyst,Online Service/Internet-based Services,3,"0-10,000"
149,Female,22,Canada,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Broadcasting/Communications,0,"50-60,000"
150,Female,22,India,Master’s degree,Other,Business Analyst,I am a student,0,"0-10,000"
151,Female,18,Viet Nam,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,1,"0-10,000"
152,Female,25,"Iran, Islamic Republic of...",Master’s degree,"Information technology, networking, or system administration",Student,I am a student,1,
153,Female,25,Poland,Master’s degree,"Information technology, networking, or system administration",Data Analyst,I am a student,0,"0-10,000"
154,Female,30,Netherlands,Doctoral degree,Engineering (non-computer focused),Data Scientist,Medical/Pharmaceutical,1,"60-70,000"
155,Female,25,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,5,"20-30,000"
156,Female,22,Romania,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,2,"10-20,000"
157,Female,22,Kenya,Bachelor’s degree,Environmental science or geology,Data Analyst,Other,0,
158,Female,40,Israel,Master’s degree,"Computer science (software engineering, etc.)",Chief Officer,Computers/Technology,5,"50-60,000"
159,Female,30,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,"Computer science (software engineering, etc.)",Student,Academics/Education,4,"10-20,000"
160,Female,45,Other,Master’s degree,Engineering (non-computer focused),Manager,Retail/Sales,15,"30-40,000"
161,Female,30,France,Master’s degree,Mathematics or statistics,Data Scientist,Energy/Mining,2,"80-90,000"
162,Female,35,Canada,Professional degree,I never declared a major,Student,I am a student,5,"20-30,000"
163,Female,25,United Kingdom of Great Britain and Northern Ireland,Master’s degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,1,"40-50,000"
164,Female,22,Egypt,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,I am a student,0,"0-10,000"
165,Female,25,United States of America,Master’s degree,Mathematics or statistics,Data Analyst,Computers/Technology,4,"125-150,000"
166,Female,25,Israel,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Analyst,Medical/Pharmaceutical,3,"50-60,000"
167,Female,22,Other,Master’s degree,Mathematics or statistics,Statistician,Government/Public Service,1,"10-20,000"
168,Female,18,India,Master’s degree,Mathematics or statistics,Student,I am a student,0,
169,Female,22,Turkey,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,1,"10-20,000"
170,Female,45,India,Doctoral degree,"Computer science (software engineering, etc.)",Not employed,,,
171,Female,25,Canada,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Business Analyst,Energy/Mining,1,"50-60,000"
172,Female,22,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1,"30-40,000"
173,Female,18,Pakistan,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,Medical/Pharmaceutical,0,"0-10,000"
174,Female,25,Portugal,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Analyst,Computers/Technology,2,"20-30,000"
175,Female,30,Portugal,Master’s degree,Mathematics or statistics,Data Scientist,Online Service/Internet-based Services,0,"10-20,000"
176,Female,18,Romania,Master’s degree,Mathematics or statistics,Student,I am a student,,"0-10,000"
177,Female,30,Norway,Doctoral degree,"Social sciences (anthropology, psychology, sociology, etc.)",Research Scientist,Medical/Pharmaceutical,3,"40-50,000"
178,Female,22,Poland,Master’s degree,Mathematics or statistics,Data Analyst,Computers/Technology,0,"10-20,000"
179,Female,30,United States of America,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Online Service/Internet-based Services,2,"100-125,000"
180,Female,22,Poland,Master’s degree,Mathematics or statistics,Data Analyst,Other,0,
181,Female,22,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Mathematics or statistics,Data Scientist,Accounting/Finance,3,"40-50,000"
182,Female,30,Other,Doctoral degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,5,"10-20,000"
183,Female,25,Canada,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,2,"0-10,000"
184,Female,30,Sweden,Master’s degree,Physics or astronomy,Business Analyst,Hospitality/Entertainment/Sports,2,"50-60,000"
185,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,2,
186,Female,25,India,Professional degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,5,
187,Female,35,Canada,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,1,
188,Female,30,Canada,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,0,
189,Female,25,Bangladesh,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Other,0,
190,Female,30,Russia,Professional degree,Mathematics or statistics,Business Analyst,Accounting/Finance,5,"40-50,000"
191,Female,25,Germany,Doctoral degree,Physics or astronomy,Data Analyst,Accounting/Finance,0,"80-90,000"
192,Female,22,Malaysia,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1,
193,Female,22,Canada,Master’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,1,
194,Female,25,Spain,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,0,"20-30,000"
195,Female,22,India,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,
196,Female,22,Spain,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,,"0-10,000"
197,Female,50,Malaysia,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Business Analyst,Accounting/Finance,25,
198,Female,25,Netherlands,Master’s degree,"Information technology, networking, or system administration",Student,I am a student,15,"0-10,000"
199,Female,30,Netherlands,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,5,"30-40,000"
200,Female,18,Japan,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,
201,Female,22,Poland,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Product/Project Manager,Computers/Technology,0,"0-10,000"
202,Female,22,Other,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,5,"20-30,000"
203,Female,45,Hungary,Doctoral degree,Mathematics or statistics,Data Scientist,Computers/Technology,0,"20-30,000"
204,Female,30,India,Professional degree,"A business discipline (accounting, economics, finance, etc.)",Chief Officer,Accounting/Finance,5,"20-30,000"
205,Female,25,Germany,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Student,Computers/Technology,0,"10-20,000"
206,Female,22,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Mathematics or statistics,Research Scientist,Academics/Education,0,"10-20,000"
207,Female,25,Belarus,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Computers/Technology,1,"0-10,000"
208,Female,25,Nigeria,Bachelor’s degree,"Computer science (software engineering, etc.)",Not employed,,,
209,Female,25,Canada,Master’s degree,Mathematics or statistics,Data Scientist,Accounting/Finance,1,"80-90,000"
210,Female,25,United States of America,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Statistician,Medical/Pharmaceutical,0,"80-90,000"
211,Female,25,United States of America,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,,
212,Female,25,Italy,Professional degree,Physics or astronomy,Data Scientist,Computers/Technology,1,"20-30,000"
213,Female,40,India,Bachelor’s degree,Engineering (non-computer focused),Not employed,,,
214,Female,25,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Accounting/Finance,3,
215,Female,25,Germany,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Retail/Sales,0,"50-60,000"
216,Female,25,United States of America,Doctoral degree,Mathematics or statistics,Student,I am a student,,"10-20,000"
217,Female,35,United States of America,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Scientist,Online Service/Internet-based Services,1,"0-10,000"
218,Female,25,United States of America,Bachelor’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Other,Other,2,"60-70,000"
219,Female,30,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Engineering (non-computer focused),Research Scientist,Medical/Pharmaceutical,3,"50-60,000"
220,Female,25,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Mathematics or statistics,Consultant,Military/Security/Defense,4,"40-50,000"
221,Female,18,United States of America,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,"10-20,000"
222,Female,25,United States of America,Doctoral degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,0,"90-100,000"
223,Female,30,Canada,Doctoral degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,2,"60-70,000"
224,Female,22,United States of America,Bachelor’s degree,Mathematics or statistics,Data Analyst,Online Service/Internet-based Services,0,"100-125,000"
225,Female,22,India,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,,
226,Female,35,Peru,Master’s degree,"Computer science (software engineering, etc.)",Research Scientist,Government/Public Service,5,
227,Female,25,Russia,Master’s degree,"Computer science (software engineering, etc.)",Business Analyst,Accounting/Finance,4,"40-50,000"
228,Female,40,Netherlands,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Research Scientist,Marketing/CRM,0,
229,Female,35,United States of America,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Other,Medical/Pharmaceutical,4,"60-70,000"
230,Female,30,United States of America,Bachelor’s degree,"Information technology, networking, or system administration",Data Analyst,Accounting/Finance,4,"100-125,000"
231,Female,18,Malaysia,Bachelor’s degree,"Information technology, networking, or system administration",Data Analyst,I am a student,0,"0-10,000"
232,Female,22,Canada,Master’s degree,"Computer science (software engineering, etc.)",Student,Accounting/Finance,0,"20-30,000"
233,Female,18,Singapore,Bachelor’s degree,Mathematics or statistics,Student,I am a student,0,"0-10,000"
234,Female,25,Russia,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Marketing/CRM,1,"20-30,000"
235,Female,22,United States of America,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Not employed,,,
236,Female,45,India,Master’s degree,Mathematics or statistics,Manager,Accounting/Finance,20,"10-20,000"
237,Female,30,United States of America,Master’s degree,Other,Data Scientist,Academics/Education,2,"100-125,000"
238,Female,25,Finland,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Accounting/Finance,0,"30-40,000"
239,Female,22,United States of America,Master’s degree,"Computer science (software engineering, etc.)",Consultant,Other,0,"100-125,000"
240,Female,25,Hungary,Doctoral degree,Physics or astronomy,Research Scientist,Manufacturing/Fabrication,1,"40-50,000"
241,Female,25,United States of America,Doctoral degree,"A business discipline (accounting, economics, finance, etc.)",Student,I am a student,3,"30-40,000"
242,Female,35,Canada,Bachelor’s degree,Mathematics or statistics,Data Scientist,Online Service/Internet-based Services,1,"90-100,000"
243,Female,22,Other,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3,
244,Female,22,France,Master’s degree,Mathematics or statistics,Data Scientist,Energy/Mining,0,"40-50,000"
245,Female,25,United States of America,Master’s degree,Mathematics or statistics,Software Engineer,Computers/Technology,2,"90-100,000"
246,Female,18,United States of America,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Student,Marketing/CRM,0,"0-10,000"
247,Female,35,South Korea,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,0,"80-90,000"
248,Female,30,Japan,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Data Analyst,Online Service/Internet-based Services,3,"50-60,000"
249,Female,22,India,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,1,
250,Female,22,United States of America,Bachelor’s degree,Mathematics or statistics,Student,Manufacturing/Fabrication,2,"0-10,000"
251,Female,25,United States of America,Master’s degree,Engineering (non-computer focused),Software Engineer,I am a student,3,"40-50,000"
